Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Distance walking / running(mi),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-06-30,1147.569,19.000,2395.704,3.052,60.000,2.000,70.390,60.000,167.000,6536.000,97.000
2020-07-01,1321.191,16.000,2397.008,6.684,97.000,3.000,92.208,58.000,161.000,14142.000,129.000
2020-07-02,1010.641,16.000,2420.201,5.376,53.000,2.000,89.402,62.000,144.000,11827.000,117.000
2020-07-03,984.126,16.000,2283.544,5.944,56.000,2.000,92.510,65.000,187.000,12827.000,123.000
2020-07-04,1034.633,17.000,2290.067,6.621,63.000,6.000,82.361,54.000,180.000,14759.000,112.000
2020-07-05,1275.105,16.000,2282.101,8.203,107.000,3.185,95.184,54.000,233.000,18444.000,115.000
2020-07-06,1293.455,18.000,2339.626,7.458,94.000,3.000,86.585,55.000,207.000,15722.000,117.000
2020-07-07,1335.709,17.000,2413.828,7.015,92.000,7.000,85.951,57.000,183.000,14423.000,126.000
2020-07-08,1117.575,17.000,2328.415,5.470,72.000,1.000,85.667,56.000,129.000,11246.000,127.000
2020-07-09,1238.712,16.000,2297.441,5.425,95.000,2.000,98.342,66.000,170.000,11327.000,121.000
2020-07-10,1248.772,17.000,2402.239,6.195,79.000,3.000,90.273,56.000,179.000,12859.000,127.000
2020-07-11,1478.216,16.000,2320.562,10.319,108.000,5.000,96.790,60.000,421.000,21668.000,119.000
2020-07-12,1281.095,17.000,2414.953,7.813,80.000,7.000,84.732,56.000,258.000,17162.000,119.000
2020-07-13,1256.891,17.000,2414.472,6.887,82.000,,82.525,53.000,187.000,14639.000,110.000
2020-07-14,1280.623,18.000,2389.499,7.179,82.000,6.000,87.280,55.000,202.000,15364.000,113.000
2020-07-15,1180.466,17.000,2327.699,6.791,87.000,2.000,89.726,57.000,173.000,14543.692,120.000
2020-07-16,919.332,16.000,2356.144,4.042,38.000,2.000,81.800,62.000,120.000,8410.120,105.000
2020-07-17,773.924,15.000,2224.881,2.680,32.000,,77.968,62.000,88.000,5754.000,87.500
2020-07-18,881.053,16.000,2346.200,3.963,31.000,5.986,77.467,50.000,160.000,8812.000,102.000
2020-07-19,801.900,19.000,2180.168,3.917,32.000,7.000,74.636,54.000,202.000,8792.000,91.000
2020-07-20,946.094,16.000,2375.134,4.299,41.000,1.000,71.978,54.000,137.000,8953.000,78.000
2020-07-21,1002.148,17.000,2411.541,4.642,35.000,7.000,77.732,57.000,159.000,9833.000,95.000
2020-07-22,847.982,17.000,2322.670,3.315,31.000,1.000,74.906,55.000,131.000,7066.200,92.000
2020-07-23,787.758,14.000,2248.764,2.555,32.000,2.000,69.083,55.000,74.000,5283.000,95.500
